French translation of Stakeholder Keys;";";SH_Key;fr
Address;Adresse;;
Country of origin;Pays d'origine ;;
Domestic Partner;Partenaire ;;
Economic Sector;Secteur économique ;;
Name;Nom de la compagnie;;
Phone;Téléphone;;
Type of Institution;Statut de la compagnie ;;
Website;Website;;
